Teams,Game,Season,Win,S,A,TO,2Pt_Sh,SOG,POSS,TCH,PAS,CT,GB,FO_%,Sv
Chrome,3,2022,1,17,9,15,0,27,1512,279,226,7,29,52.9,12
Atlas,3,2022,0,9,3,16,8,25,1542,268,209,6,30,60,17
Whipsnakes,3,2022,1,12,5,18,7,30,1106,242,187,7,30,40,18
Cannons,3,2022,0,9,5,21,5,26,1241,269,206,6,32,65.6,11
Archers,3,2022,1,20,11,13,4,30,1363,296,241,10,31,34.4,15
Redwoods,3,2022,1,11,5,12,6,28,1354,287,232,11,27,52.4,8
Chaos,3,2022,0,7,6,21,2,15,1367,229,188,2,19,47.6,16
Redwoods,4,2022,0,11,5,16,5,23,1196,238,186,15,25,40,4
Whipsnakes,4,2022,1,12,8,24,5,17,1481,248,195,6,33,60,12
Chaos,4,2022,0,9,5,18,5,21,1256,262,209,7,27,50,12
Waterdogs,4,2022,1,18,10,13,4,28,1454,283,225,7,29,50,11
Cannons,4,2022,0,11,5,19,5,25,1214,258,201,5,25,40.7,16
Chrome,4,2022,1,12,7,18,1,31,1609,307,239,9,43,59.3,13
Archers,4,2022,0,9,4,19,4,21,1247,244,193,11,19,17.4,11
Atlas,4,2022,1,10,4,20,8,25,1485,294,225,8,32,82.6,11
Whipsnakes,5,2022,0,10,6,16,7,25,1333,280,217,4,28,62.5,13
Waterdogs,5,2022,1,11,3,14,5,26,1362,263,198,6,27,33.3,14
Archers,5,2022,1,10,8,16,4,24,1346,280,226,8,25,33.3,9
Redwoods,5,2022,0,9,5,20,3,20,1301,264,209,6,24,61.9,12
Atlas,5,2022,1,14,8,16,4,21,1470,251,205,4,31,57.1,11
Chrome,5,2022,0,13,6,10,3,27,1180,285,234,7,21,42.9,7
Chaos,5,2022,1,13,7,14,1,23,995,224,178,6,29,32.1,20
Cannons,5,2022,0,11,4,14,0,35,1675,298,234,6,37,67.9,10
Redwoods,6,2022,1,16,7,17,6,30,1404,255,192,5,35,64.5,15
Atlas,6,2022,0,15,8,14,5,31,1256,220,165,8,31,35.5,16
Whipsnakes,6,2022,1,14,5,9,1,31,1477,256,197,3,31,66.7,8
Chaos,6,2022,0,12,7,16,6,21,1163,243,193,2,21,33.3,15
Cannons,6,2022,0,12,7,19,3,24,1117,214,162,5,34,31.3,14
Archers,6,2022,1,17,12,19,1,32,1558,309,246,4,40,68.8,12
Chrome,6,2022,0,10,7,24,2,21,1439,297,238,6,40,62.5,15
Waterdogs,6,2022,1,11,7,17,6,27,1392,273,213,12,27,37.5,11
Archers,7,2022,0,9,4,15,3,26,1181,282,233,10,33,34.6,6
Atlas,7,2022,1,14,9,21,1,22,1461,243,193,5,32,65.4,14
Chrome,7,2022,0,8,6,14,3,24,1357,251,204,8,18,30,8
Whipsnakes,7,2022,1,9,6,20,4,17,1329,252,206,5,33,70,16
Redwoods,7,2022,0,12,6,15,4,26,1389,261,210,6,27,53.3,8
Chaos,7,2022,1,14,9,20,1,24,1295,293,238,6,27,46.7,14
Waterdogs,7,2022,1,15,10,12,3,32,1376,240,182,10,37,45.5,9
Cannons,7,2022,0,14,6,18,2,24,1263,249,194,6,40,54.5,16
Waterdogs,8,2022,1,16,11,14,4,29,1493,290,228,7,24,32.3,17
Atlas,8,2022,0,15,8,19,8,32,1238,269,208,4,33,67.7,13
Cannons,8,2022,0,12,7,13,4,28,1141,256,201,4,27,37.9,14
Redwoods,8,2022,1,15,4,16,8,28,1556,286,220,7,35,62.1,14
Chaos,8,2022,0,9,3,17,7,22,1121,229,181,8,22,36,12
Chrome,8,2022,1,13,8,20,2,27,1550,329,274,5,42,64,11
Archers,8,2022,0,11,7,12,5,23,1059,258,214,5,21,22.2,14
Whipsnakes,8,2022,1,13,6,16,2,31,1525,280,217,6,38,77.8,12
Atlas,9,2022,0,8,5,17,6,26,1298,241,182,7,34,66.7,17
Whipsnakes,9,2022,1,16,7,15,4,33,1328,257,196,8,22,33.3,18
Waterdogs,9,2022,0,12,6,15,5,22,1421,254,190,9,41,31,8
Redwoods,9,2022,1,14,11,17,2,23,1231,250,204,3,27,62.1,11
Chaos,9,2022,0,8,5,17,6,18,1263,256,206,5,28,50,19
Archers,9,2022,1,11,6,8,3,31,1411,312,258,9,34,45.5,6
Cannons,9,2022,0,9,6,11,3,28,1453,260,207,10,25,47.8,10
Chrome,9,2022,1,11,6,15,2,21,1276,291,243,7,27,52.2,16
Chrome,10,2022,1,13,9,21,1,24,1492,261,210,4,39,64.3,12
Redwoods,10,2022,0,12,3,13,7,23,1184,239,186,10,25,35.7,9
Archers,10,2022,1,16,7,14,5,32,1160,282,226,11,30,32.3,14
Waterdogs,10,2022,0,12,8,22,5,30,1503,256,193,7,45,67.7,16
Whipsnakes,10,2022,1,11,5,22,6,20,1355,227,161,6,36,68.2,7
Cannons,10,2022,0,9,4,13,1,18,1339,215,163,11,25,31.8,9
Atlas,10,2022,1,10,6,21,2,15,1533,259,200,6,36,68.2,11
Chaos,10,2022,0,9,6,19,1,22,1192,234,177,8,33,31.8,6
Whipsnakes,1,2021,1,13,6,18,8,31,0,0,0,10,44,69.6,8
Chaos,1,2021,0,7,4,17,6,15,0,0,0,11,22,30.4,19
Archers,1,2021,1,18,9,20,3,26,0,0,0,9,29,41.7,19
Atlas,1,2021,0,6,1,17,6,24,0,0,0,11,27,58.3,10
Cannons,1,2021,0,11,7,7,4,30,0,0,0,14,42,22.2,21
Redwoods,1,2021,1,12,8,20,3,33,0,0,0,7,38,77.8,19
Waterdogs,1,2021,0,7,2,22,6,17,0,0,0,12,42,60.9,6
Cannons,1,2021,1,13,3,24,2,19,0,0,0,10,32,39.1,11
Chrome,1,2021,0,11,8,14,1,25,0,0,0,14,32,46.4,10
Redwoods,1,2021,1,14,7,18,5,23,0,0,0,10,32,53.6,14
Chaos,2,2021,0,12,4,22,9,16,0,0,0,9,36,44,14
Waterdogs,2,2021,1,14,4,18,7,26,0,0,0,12,36,56,7
Redwoods,2,2021,0,9,4,14,4,26,0,0,0,8,26,54.2,14
Atlas,2,2021,1,12,8,18,7,25,0,0,0,10,41,45.8,17
Chrome,2,2021,0,9,5,26,4,15,0,0,0,8,34,60,13
Waterdogs,2,2021,1,14,8,15,7,26,0,0,0,12,25,40,7
Chaos,2,2021,0,8,4,18,10,16,0,0,0,11,37,31.8,21
Archers,2,2021,1,12,8,18,3,33,0,0,0,9,40,68.2,10
Whipsnakes,2,2021,1,15,6,20,5,30,0,0,0,5,46,54.8,21
Cannons,2,2021,0,14,4,10,7,34,0,0,0,12,35,45.2,16
Whipsnakes,3,2021,1,12,6,19,5,27,0,0,0,10,35,56,11
Atlas,3,2021,0,11,4,19,4,21,0,0,0,11,36,44,16
Chrome,3,2021,1,16,9,15,4,28,0,0,0,10,24,50,21
Whipsnakes,3,2021,0,6,3,17,10,27,0,0,0,7,37,50,14
Redwoods,3,2021,0,9,3,15,2,23,0,0,0,4,28,77.3,11
Chaos,3,2021,1,11,9,11,8,21,0,0,0,9,25,22.7,14
Waterdogs,3,2021,0,8,3,20,4,17,0,0,0,6,27,46.2,13
Archers,3,2021,1,17,12,18,3,28,0,0,0,9,44,53.8,9
Cannons,3,2021,0,17,8,21,2,22,0,0,0,11,33,36.8,18
Atlas,3,2021,1,18,8,18,4,36,0,0,0,15,45,63.2,6
Archers,4,2021,0,7,5,12,3,23,0,0,0,11,23,42.1,13
Chrome,4,2021,1,8,3,21,4,21,0,0,0,5,35,57.9,16
Cannons,4,2021,0,10,5,12,6,27,0,0,0,13,35,33.3,11
Chaos,4,2021,1,14,10,21,6,25,0,0,0,5,38,66.7,18
Chrome,4,2021,0,10,6,17,5,21,0,0,0,13,35,40.7,8
Atlas,4,2021,1,16,7,17,7,21,0,0,0,12,39,59.3,11
Redwoods,4,2021,1,19,12,16,5,26,0,0,0,2,41,70.6,13
Waterdogs,4,2021,0,16,11,10,5,28,0,0,0,9,35,29.4,9
Whipsnakes,4,2021,1,15,9,15,7,29,0,0,0,12,44,71.9,4
Archers,4,2021,0,14,8,17,1,18,0,0,0,8,33,28.1,15
Waterdogs,5,2021,1,19,9,19,3,31,0,0,0,9,43,72.4,10
Cannons,5,2021,0,7,4,17,1,17,0,0,0,7,26,27.6,13
Redwoods,5,2021,1,13,5,14,3,22,0,0,0,5,34,54.2,17
Whipsnakes,5,2021,0,7,4,14,4,24,0,0,0,4,31,45.8,9
Atlas,5,2021,1,16,7,16,5,33,0,0,0,10,39,67.9,10
Chaos,5,2021,0,10,5,18,5,19,0,0,0,8,29,32.1,18
Cannons,5,2021,1,13,8,13,2,26,0,0,0,8,34,55.2,15
Archers,5,2021,0,12,7,14,4,27,0,0,0,8,36,44.8,13
Chrome,5,2021,0,6,2,23,3,15,0,0,0,8,28,40.9,16
Waterdogs,5,2021,1,12,5,19,5,28,0,0,0,14,40,59.1,9
Atlas,6,2021,1,19,9,14,4,32,0,0,0,7,41,80.6,12
Chrome,6,2021,0,10,7,11,2,22,0,0,0,9,35,19.4,15
Archers,6,2021,1,15,8,14,7,31,0,0,0,11,37,28.6,15
Redwoods,6,2021,0,12,4,23,5,24,0,0,0,8,35,71.4,16
Waterdogs,6,2021,1,11,7,18,3,23,0,0,0,8,47,73.7,19
Whipsnakes,6,2021,0,6,2,14,8,25,0,0,0,10,38,26.3,14
Chaos,6,2021,1,14,7,18,6,26,0,0,0,10,36,48.1,20
Chrome,6,2021,0,12,7,17,5,30,0,0,0,12,41,51.9,13
Atlas,6,2021,1,13,6,11,10,30,0,0,0,7,35,77.8,10
Cannons,6,2021,0,12,8,12,2,22,0,0,0,7,28,22.2,19
Archers,7,2021,1,15,7,14,4,25,0,0,0,6,31,43.8,18
Whipsnakes,7,2021,0,14,3,17,6,31,0,0,0,5,43,56.3,10
Cannons,7,2021,1,13,5,17,2,26,0,0,0,9,35,38.5,16
Chrome,7,2021,0,10,8,17,5,26,0,0,0,11,46,61.5,14
Redwoods,7,2021,0,12,5,18,3,20,0,0,0,9,34,40,14
Whipsnakes,7,2021,1,14,8,17,2,28,0,0,0,6,51,60,8
Archers,7,2021,0,9,6,21,5,21,0,0,0,8,33,52.2,18
Chaos,7,2021,1,11,6,16,9,28,0,0,0,6,31,47.8,12
Atlas,7,2021,0,9,7,20,9,26,0,0,0,13,46,56.5,10
Waterdogs,7,2021,1,10,5,21,3,20,0,0,0,12,35,43.5,17
Chaos,7,2021,0,9,7,15,1,26,0,0,0,13,44,70,13
Redwoods,7,2021,1,10,6,17,6,21,0,0,0,10,28,30,17
Chrome,1,2019,0,12,7,22,5,24,0,0,0,5,38,64.3,8
Archers,1,2019,1,13,8,19,1,20,0,0,0,8,27,35.7,12
Chaos,1,2019,0,14,4,16,8,25,0,0,0,7,34,43.8,14
Whipsnakes,1,2019,1,15,7,12,6,29,0,0,0,3,35,56.3,12
Redwoods,1,2019,1,11,6,12,2,33,0,0,0,8,27,45.8,17
Atlas,1,2019,0,9,7,16,6,26,0,0,0,7,21,54.2,22
Whipsnakes,2,2019,1,12,6,14,7,27,0,0,0,6,25,40,16
Chrome,2,2019,0,11,5,21,5,26,0,0,0,5,28,60,16
Chaos,2,2019,1,18,8,12,8,28,0,0,0,6,24,30,19
Atlas,2,2019,0,13,7,16,7,31,0,0,0,5,35,70,13
Redwoods,2,2019,0,9,3,15,4,26,0,0,0,8,20,56.5,14
Archers,2,2019,1,10,5,16,2,23,0,0,0,7,26,43.5,16
Chrome,3,2019,0,12,6,13,9,27,0,0,0,8,28,34.6,12
Atlas,3,2019,1,13,8,19,1,24,0,0,0,4,26,65.4,17
Archers,3,2019,0,10,6,15,4,29,0,0,0,4,30,36.4,14
Whipsnakes,3,2019,1,11,6,18,10,24,0,0,0,8,31,63.6,20
Chaos,3,2019,1,12,8,23,2,17,0,0,0,3,23,46.2,15
Redwoods,3,2019,0,11,6,15,6,26,0,0,0,9,29,53.8,6
Whipsnakes,4,2019,1,15,7,10,9,29,0,0,0,9,25,30.4,12
Atlas,4,2019,0,10,5,15,6,21,0,0,0,2,30,69.6,17
Chrome,4,2019,0,11,5,20,6,22,0,0,0,6,36,46.2,13
Redwoods,4,2019,1,13,8,15,2,26,0,0,0,10,35,53.8,13
Archers,4,2019,0,13,8,17,6,33,0,0,0,13,36,46.4,10
Chaos,4,2019,1,14,10,25,7,22,0,0,0,2,28,53.6,21
Atlas,5,2019,1,13,7,14,3,22,0,0,0,5,25,71.4,11
Archers,5,2019,0,12,8,11,6,22,0,0,0,8,19,28.6,9
Chaos,5,2019,1,15,8,16,4,30,0,0,0,6,33,62.5,14
Chrome,5,2019,0,14,5,13,2,28,0,0,0,6,34,37.5,16
Redwoods,5,2019,1,14,9,11,4,27,0,0,0,8,24,22.2,17
Whipsnakes,5,2019,0,11,10,14,5,27,0,0,0,5,40,77.8,13
Chrome,6,2019,1,19,11,13,1,37,0,0,0,9,43,52.9,9
Chaos,6,2019,0,11,6,15,2,20,0,0,0,8,30,47.1,18
Archers,6,2019,0,8,8,22,2,22,0,0,0,9,35,85.7,12
Redwoods,6,2019,1,9,5,19,3,21,0,0,0,7,24,14.3,14
Atlas,6,2019,0,9,3,13,7,23,0,0,0,3,24,54.5,17
Whipsnakes,6,2019,1,11,3,11,4,28,0,0,0,3,21,45.5,14
Atlas,7,2019,1,18,13,12,9,25,0,0,0,5,25,63.6,12
Redwoods,7,2019,0,15,8,10,1,27,0,0,0,3,21,36.4,10
Chaos,7,2019,1,13,7,17,6,30,0,0,0,12,31,46.4,17
Whipsnakes,7,2019,0,12,7,13,8,29,0,0,0,6,27,53.6,18
Archers,7,2019,1,9,1,12,7,19,0,0,0,3,25,43.8,19
Chrome,7,2019,0,7,4,9,4,26,0,0,0,5,35,56.3,12
Chrome,8,2019,1,20,8,17,4,24,0,0,0,9,36,58.8,9
Whipsnakes,8,2019,0,16,8,14,11,21,0,0,0,10,33,41.2,6
Archers,8,2019,1,15,9,11,2,28,0,0,0,4,26,43.3,17
Atlas,8,2019,0,11,7,14,9,28,0,0,0,8,39,56.7,13
Redwoods,8,2019,0,10,4,18,6,23,0,0,0,7,25,27.3,12
Chaos,8,2019,1,13,6,21,10,21,0,0,0,6,33,72.7,12
Chrome,9,2019,0,14,7,15,3,23,0,0,0,4,25,45.5,12
Atlas,9,2019,1,17,9,13,6,27,0,0,0,8,30,54.5,9
Chaos,9,2019,1,11,7,17,5,22,0,0,0,5,25,36,15
Archers,9,2019,0,10,5,13,9,25,0,0,0,5,36,64,11
Whipsnakes,9,2019,1,17,14,14,6,25,0,0,0,6,29,50,11
Redwoods,9,2019,0,4,4,17,3,15,0,0,0,6,29,50,9
Atlas,10,2019,1,12,7,17,7,25,0,0,0,5,31,52.2,18
Chaos,10,2019,0,9,3,14,7,26,0,0,0,11,25,47.8,13
Redwoods,10,2019,1,18,10,14,9,37,0,0,0,8,36,51.9,9
Chrome,10,2019,0,7,3,18,7,16,0,0,0,8,32,48.1,20
Whipsnakes,10,2019,0,8,5,15,3,18,0,0,0,5,21,55,14
Archers,10,2019,1,11,6,15,6,24,0,0,0,0,28,45,11
